station_id,station_name,description
S01,FABRICATOR,Trades: FABRICATOR
S02,DELUGE VALVE,Trades: DELUGE VALVE
S03,MULTI TRADE,"Trades: DELUGE VALVE, SHEET FITTER, PIPE THREAD"
S04,TANK WELDER,Trades: TANK WELDER
S05,DRILLER,Trades: DRILLER
S06,WELDER,Trades: WELDER
S07,TANK WELDER,Trades: TANK WELDER
S08,MULTI TRADE,"Trades: SHEET FITTER, HELPER, FABRICATOR-HELPER"
S09,MULTI TRADE,"Trades: STRUCTURE FITTER, FITTER HELPER"
S10,PIPE WELDER,Trades: PIPE WELDER
S11,TANK WELDER,Trades: TANK WELDER
S12,MULTI TRADE,"Trades: FABRICATOR, FABRICATOR-HELPER"
S13,FABRICATOR,Trades: FABRICATOR
S14,TANK WELDER,Trades: TANK WELDER
S15,TANK WELDER,Trades: TANK WELDER
S16,PIPE WELDER,Trades: PIPE WELDER
S17,MULTI TRADE,"Trades: ELECTRICIAN, HELPER"
S18,TANK WELDER,Trades: TANK WELDER
S19,TANK WELDER,Trades: TANK WELDER
S20,TANK WELDER,Trades: TANK WELDER
S21,MULTI TRADE,"Trades: FABRICATOR, FABRICATOR-HELPER"
S22,SUB ARC WELDING,Trades: SUB ARC WELDING
S23,SUB ARC WELDING,Trades: SUB ARC WELDING
S24,SUB ARC WELDING,Trades: SUB ARC WELDING
S25,MULTI TRADE,"Trades: STRUCTURE FITTER, FABRICATOR-HELPER"
S26,TANK WELDER,Trades: TANK WELDER
S27,MULTI TRADE,"Trades: FABRICATOR, FABRICATOR-HELPER"
S28,TANK WELDER,Trades: TANK WELDER
S30,MULTI TRADE,"Trades: ASSEMBLER, PUTTY, HELPER"
S31,MULTI TRADE,"Trades: STRUCTURE FITTER, FABRICATOR-HELPER"
S32,MULTI TRADE,"Trades: STRUCTURE FITTER, ASSEMBLER"
S33,TANK WELDER,Trades: TANK WELDER
S34,MULTI TRADE,"Trades: PIPE FITTER, FABRICATOR-HELPER, GROOVING"
S35,TANK WELDER,Trades: TANK WELDER
S37,ASSEMBLER,Trades: ASSEMBLER
S38,MULTI TRADE,"Trades: BEVEL CUTTING, GAS CUTTING"
S39,PAINTER,Trades: PAINTER
S40,PUTTY,Trades: PUTTY
S41,PLASMA CUTTING,Trades: PLASMA CUTTING
S43,TESTER,Trades: TESTER
